"Date","Station","Latitude","Longitude","Target_Depth","CTD_Pressure","CTD_Temperature","CTD_Salinity","Bottle_Salinity","unc","d18O","unc_2","Ba","unc_3","PO4","unc_4","Si_OH4","unc_5","NO3","unc_6","NO2","unc_7","NH4","unc_8","O2","Notes"
2013-04-14,"86N, 90E",85.9980666666667,89.7314833333333,75,"80.67","-1.8545","34.121000000000002","34.125900000000001",0.000707106257766947,"-0.85775493023111105",NA,"43.637646703535907",NA,"0.3987855223880597",NA,"1.7681589440855412",NA,"3.0996185720650482",NA,"1.0779189128981969E-2",NA,"6.9398966362218789E-2",NA,"nan",NA
2013-04-14,"86N, 90E",85.9980666666667,89.7314833333333,100,"106.38","-0.8135","34.332999999999998","34.362499999999997",NA,"-0.15266111264292911",NA,"42.890998661727785",NA,"0.70761537313432821",NA,"3.8153632078413904",NA,"8.0998291557139694",NA,"1.073442637558478E-2",NA,"6.9256493651147194E-2",NA,"nan",NA
2013-04-14,"86N, 90E",85.9980666666667,89.7314833333333,150,"159.01","0.53939999999999999","34.656999999999996","34.635199999999998",NA,"3.3253878561058763E-2",NA,"42.505006448399307",NA,"1.21102",0.0255618046015541,"6.7337101581644019",0.00309396155021592,"14.918243843840498",0.221888524861491,"1.6692499443083087E-2",3.14504210156673e-05,"5.837252840276233E-2",0.00739359293474698,"6.944",NA
2013-04-14,"86N, 90E",85.9980666666667,89.7314833333333,300,"321.58999999999997","1.1940999999999999","34.862000000000002","34.863199999999999",NA,"0.1568682216640796",0.0181809230243581,"42.732592155101386",0.905552558619534,"1.357474776119403",NA,"7.7027302294497657",NA,"17.159149743818222",NA,"1.6625778569837369E-2",NA,"5.8082307863666797E-2",NA,"6.883","Nut. conc. unusually high for this depth. Data suspect."
2013-04-15,"87N, 90E",87.0088833333333,89.8372666666667,20,"22.173999999999999","-1.8533999999999999","33.762","33.7622",0.00042426396903023,"-1.483240818500259",0.0272710511006781,"45.634137099121446",NA,"0.32905940298507463",0.00279317732400527,"1.7434623702383614",0.140219284160487,"1.7863753720204945",0.000927563741854996,"1.0443359322789062E-2",3.16740992551425e-05,"7.9008518601024549E-2",0.015105268931509,"nan",NA
2013-04-15,"87N, 90E",87.0088833333333,89.8372666666667,50,"52.616999999999997","-1.8337000000000001","33.802","33.813699999999997",NA,"-1.3561657736328212",NA,"45.939786998040489",NA,"0.35120417910447765",NA,"1.738518690131432",NA,"2.1669026420138118",NA,"1.0376163956337742E-2",NA,"0.13179295165961225",NA,"nan",NA
2013-04-15,"87N, 90E",87.0088833333333,89.8372666666667,75,"78.471000000000004","-1.7079","33.970999999999997","34.006399999999999",NA,"-0.90621135662591712",NA,"45.373430017875087",NA,"0.4715640298507463",NA,"2.4173973267988424",NA,"3.899928191133883",NA,"1.0331361104923151E-2",NA,"7.3278792604143536E-2",NA,"nan",NA
2013-04-15,"87N, 90E",87.0088833333333,89.8372666666667,100,"104.2","-1.1186","34.234999999999999","34.256500000000003",NA,"-0.27133031616243175",NA,"42.840348242425002",NA,"0.672123880597015",NA,"3.7779978257963913",NA,"7.246131058142125",NA,"1.0286553798173323E-2",NA,"9.4293383827131465E-3",NA,"nan",NA
2013-04-15,"87N, 90E",87.0088833333333,89.8372666666667,150,"155.56","9.5000000000000001E-2","34.558999999999997","34.553199999999997",NA,"-2.8553057215702747E-2",0.00769169813164173,"42.14606862210924",0.304441106921571,"0.55589373134328357",NA,"4.5535470527957234",NA,"9.4423806460236133",NA,"1.0241742036088231E-2",NA,"9.2729472042770798E-3",NA,"nan",NA
2013-04-15,"87N, 90E",87.0088833333333,89.8372666666667,300,"313.45999999999998","1.222","34.860999999999997","34.862299999999998",NA,"0.20631348735579011",NA,"42.460418319688841",NA,"0.85670358208955211",NA,"5.0365924704834049",NA,"12.456638895076853",NA,"1.0196925818667874E-2",NA,"9.1164847404766013E-3",NA,"6.8659999999999997",NA
2013-04-15,"88N, 90E",88.0354,89.3043,20,"22.173999999999999","-1.8282","33.295000000000002","33.2988",NA,"-1.9079777114633578",NA,"47.082474210851998",NA,"0.31547328358208948",NA,"2.3028930719536658",NA,"1.3402351080418806",NA,"7.070563599910905E-3",NA,"3.4896146134996901E-3",NA,"nan",NA
2013-04-15,"88N, 90E",88.0354,89.3043,50,"53.716000000000001","-1.7936000000000001","33.545999999999999","33.535399999999996",0.00014142221621562,"-1.5084583425440643",NA,"47.034852859879678",0.0756250300173865,"0.35165305970149258",4.23208688763133e-05,"1.8598633459567837",0.0664712256340889,"1.980879294943195",0.00318500017143229,"8.5216005791935862E-3",0.00211568585713438,"8.6466696368900087E-3",0.00011083729461202,"nan",NA
2013-04-15,"88N, 90E",88.0354,89.3043,75,"79.486999999999995","-1.7162999999999999","33.826999999999998","33.844499999999996",NA,"-1.0713593079464168",NA,"46.187740043268754",NA,"0.49209283582089552",NA,"3.0709385386500343",NA,"3.7305119982178661",NA,"9.9727779015371058E-3",NA,"3.4919670305190331E-2",NA,"8.1029999999999998",NA
2013-04-15,"88N, 90E",88.0354,89.3043,100,"105.24","-1.3797999999999999","34.162999999999997","34.145200000000003",NA,"-0.48691331557054202",NA,"45.144081572489924",NA,"0.63250268656716424",NA,"3.7481966228558705",NA,"6.1190974381822221",NA,"1.2965248384940975E-2",NA,"2.8577055023389507E-3",NA,"nan",NA
2013-04-15,"88N, 90E",88.0354,89.3043,150,"157.91","-6.7000000000000002E-3","34.540999999999997","34.535800000000002",NA,"-2.5091883901788035E-2",NA,"42.738589127369643",NA,"0.75286253731343278",NA,"4.7168801514813996",NA,"9.1489901960347524",NA,"1.2920550233905115E-2",NA,"2.9298057473824919E-2",NA,"nan",NA
2013-04-15,"88N, 90E",88.0354,89.3043,300,"316.95999999999998","1.2246999999999999","34.86","34.861600000000003",NA,"0.19675392156988344",0.0165576536394872,"42.341790164291893",NA,"0.85718238805970148",NA,"5.0046073334818466",NA,"12.290880570282916",NA,"1.2875847627533991E-2",NA,"2.9145800846513633E-2",NA,"6.8769999999999998",NA
